Error Rate,Average Throughput,Number of Retransmissions
0.0,12.820773,121
0.10,10.940878,252
0.20,9.363464,405
0.30,7.776733,624
0.40,6.517101,864
0.50,5.241565,1247

Window Size, Average Throughput
4,9.363464,405
8,18.679901,404
12,27.970104,403
16,37.074783,402
